mcrTags,count
"[amazon,api,assertion,aws,code,codegen,generator,jenkins,junit,mock,mocking,module,parser,plugin,quality,reflection,scripting,sdk,security,support,testing,workflow,xml,yaml]",1
"[annotations,apache,api,assertion,base64,binding,bytecode,cache,cassandra,client,code,codec,codegen,collections,commons,compiler,connector,csv,database,dependency-injection,driver,encoding,exception,extension,generator,google,hashing,http,io,javax,jdbc,json,junit,library,logging,mail,mapping,match,matching,matrix,metadata,metrics,mock,mocking,module,mysql,parser,pool,quality,reactive,rest,schema,service,specs,standard,structures,swagger,tabular,testing,testng,validation,vector,webservice]",1
"[apache,api,bridge,client,framework,http,junit,logging,mime,mock,mocking,search,slf4j,solr,testing]",1
"[apache,api,client,container,elastic,elasticsearch,io,kubernetes,logging,native,search,server]",1
"[admin,agent,ajax,annotations,ant,apache,api,authentication,batch,beans,binding,bootstrap,build,build-system,bundle,bytecode,cache,cli,client,cluster,codehaus,command-line,compiler,concurrency,concurrent,config,connector,console,container,database,dependency-injection,deployment,description,descriptor,distribution,driver,eclipse,ejb,embedded,export,expression,extension,framework,generator,help,hibernate,html,htmlunit,http,ibm,ide,integration,interactive,interface,io,javaee,javax,jaxrs,jboss,jca,jdbc,jms,jpa,jsf,json,jsp,junit,language,launcher,logging,mail,management,mapping,maven,messaging,metadata,mocking,model,module,monitoring,mvc,mysql,naming,native,netbeans,network,osgi,parser,persistence,platform,plugin,processor,provider,queue,reflection,registry,remote,resource,rest,rpc,runtime,schema,security,selenium,server,service,servlet,shell,soap,specs,sql,ssh,ssl,standard,stats,streaming,support,taglib,tcp,terminal,testing,testng,tools,transaction,upload,validation,web,webservice,websocket,xml]",1
"[apache,api,avro,beans,bridge,broker,cassandra,client,commons,compiler,computing,config,coordination,csv,database,dependency-injection,distributed,driver,eclipse,elastic,elasticsearch,engine,expression,framework,google,hadoop,http,io,json,junit,jvm,kafka,language,library,logging,management,message,metrics,mock,mocking,module,mongodb,monitoring,nosql,performance,plugin,processing,protocol,query,random,reflection,rule-engine,scala,search,serialization,server,shell,slf4j,solr,spark,spring,stream,streaming,tabular,testing,testng,typesafe]",1
"[apache,api,asynchronous,buffer,client,code,codec,codegen,config,dns,eclipse,embedded,example,generator,google,http,io,jetty,logging,matching,mock,mocking,native,netty,network,proxy,reactive,registry,security,server,servlet,slf4j,socket,streaming,testing,testng,tomcat,transport,typesafe,upload,web,webserver,websocket]",1
"[apache,api,authentication,build,build-system,container,github,google,http,io,javax,jaxrs,json,jwt,maven,messaging,model,proxy,rest,security,selenium,server,servlet,specs,standard,swagger,testing,web,webservice,websocket]",1
"[annotations,aop,apache,api,aspect,assets,authentication,base64,binding,bootstrap,bridge,calendar,cli,client,codec,codehaus,collections,command-line,commons,connector,dashboard,database,dependency-injection,directory,dom,driver,embedded,encoding,encryption,engine,extension,font,framework,frontend,github,hazelcast,io,javax,jaxrs,jdbc,jpa,jquery,json,junit,logging,mail,mapping,messaging,metadata,mock,mocking,mvc,mysql,native,orm,parser,persistence,plugin,pool,pooling,postgresql,prometheus,provider,relational,rest,runtime,scheduling,server,service,servlet,slf4j,specs,spring,sql,standard,structures,support,swagger,telephony,testing,text,tomcat,transaction,ui,web,webserver,webservice,websocket,wicket,xml]",1
"[cli,experimental,native,parser,spring]",1
"[client,cloud,http,logging,spring]",1
"[client,http,json,junit,library,matching,testing]",1
"[apache,api,business,code,codec,codegen,commons,generator,google,http,io,logging,netty,network,slf4j,socket]",1
"[api,base64,codec,encoding,io,json,junit,testing]",1
"[amazon,annotations,apache,api,application,aws,beans,benchmark,bridge,bundle,bytecode,cli,client,cms,collections,command-line,commons,concurrency,concurrent,config,connector,console,container,data,database,dependency-injection,eclipse,embedded,expression,framework,full-text,google,htmlunit,http,index,indexing,interface,io,javax,jdbc,jetty,jndi,json,jsp,junit,language,logging,lucene,math,metadata,mime,mock,mocking,network,osgi,parser,pojo,pool,pooling,proxy,reflection,rmi,s3,sdk,server,servlet,slf4j,specs,sql,ssh,standard,structures,terminal,testing,testng,tomcat,transaction,upload,vfs,web,webapp,webdav,webserver]",1
"[apache,compression,github,hadoop,io]",1
"[annotations,apache,api,assertion,benchmark,build,build-system,bytecode,codehaus,compatibility,generator,google,io,javax,junit,logging,maven,metadata,mock,mocking,model,performance,plugin,quality,slf4j,specs,standard,testing,tools,tree]",1
"[apache,binding,code,codegen,commons,connector,csv,database,driver,excel,generator,github,graph,json,mysql,neo4j,persistence,sdk,spreadsheet,spring,starter,tabular,upload]",1
"[amqp,analysis,apache,api,benchmark,bridge,client,cloud,code-coverage,communication,coverage,data,database,datasource,distributed,driver,embedded,extension,generator,github,http,io,javax,jdbc,json,junit,logging,management,metrics,mock,mocking,mongodb,monitoring,nosql,performance,plugin,pool,pooling,queue,rabbitmq,redis,remoting,reporter,rules,server,servlet,slf4j,specs,spring,sql,standard,starter,streaming,system,testing,tomcat,tools,tracing,webserver]",1
"[amazon,analysis,analyzer,annotation,annotations,ant,aop,apache,api,application,aspect,assembly,assets,authentication,aws,base64,beans,binding,bootstrap,bridge,buffer,build,bundle,bytecode,cache,calendar,captcha,cbor,charts,cli,client,cloud,code,codec,codegen,codehaus,collections,command-line,commons,communication,compiler,compression,concurrency,concurrent,config,connector,container,csv,dao,data,database,date,defect,dependency-injection,deployment,descriptor,diff,directory,distributed,distribution,dom,driver,elastic,elasticsearch,embedded,encoding,encryption,engine,evaluation,event,example,excel,expression,extension,framework,frontend,ftp,full-text,generator,github,google,graphics,hazelcast,help,hibernate,hsql,html,http,i18n,import,index,indexing,io,javaee,javax,jaxrs,jboss,jdbc,jetty,jpa,jquery,jsf,json,jsp,junit,language,ldap,library,logging,lucene,mail,management,manager,mapping,matching,math,matrix,memory,metadata,migration,mime,mock,mocking,model,module,mustache,mvc,mysql,native,netty,network,oauth,openstack,orm,parser,pdf,persistence,plugin,pool,pooling,portal,portlet,privacy,processor,profiling,provider,reactive,reflection,regexp,relational,remoting,render,rest,rss,runtime,s3,scheduling,search,security,serialization,server,service,servlet,slf4j,soap,social,socket,spatial,specs,spreadsheet,spring,sql,standard,starter,stats,storage,streaming,structures,support,swagger,syndication,tabular,taglib,tags,template,testing,text,time,tomcat,toolkit,tools,transaction,transport,twitter,ui,upload,validation,video,visualization,web,webapp,webserver,webservice,wicket,xml,xpath,yaml]",1
"[assertion,io,junit,quality,testing,validation]",1
"[aop,apache,api,aspect,build,build-system,bytecode,client,code,codegen,communication,coordination,distributed,framework,generator,github,google,jdbc,json,library,mapping,maven,mock,mocking,model,mvc,orm,persistence,plugin,pool,pooling,queue,relational,remoting,server,spring,starter,swagger,testing,tomcat,transaction,web,webserver,yaml,zookeeper]",1
"[apache,code,codegen,generator,logging,opengl]",1
"[admin,agent,ajax,analysis,annotations,ant,apache,api,authentication,authorization,batch,beans,benchmark,binding,bootstrap,build,build-system,bundle,bytecode,cache,cli,client,cluster,codehaus,command-line,commons,compiler,concurrent,config,connector,console,container,database,dependency-injection,deployment,description,descriptor,distribution,driver,eclipse,ejb,embedded,engine,export,framework,generator,hibernate,html,htmlunit,http,ibm,integration,interactive,interface,io,javaee,javax,jaxrs,jboss,jca,jdbc,jms,jpa,jsf,json,jsp,junit,launcher,logging,mail,management,mapping,matching,maven,messaging,metadata,mocking,model,module,monitoring,mvc,mysql,naming,native,network,osgi,parser,performance,persistence,platform,plugin,processor,provider,queue,reflection,remote,resource,rest,runtime,schema,security,selenium,server,service,servlet,shell,soap,specs,sql,ssh,ssl,standard,stats,streaming,support,tcp,terminal,testing,testng,tools,transaction,tree,validation,web,webservice,websocket,xml]",1
"[apache,api,client,database,github,junit,logging,matching,mock,mocking,redis,security,slf4j,testing]",1
"[ant,api,assertion,bridge,build,codehaus,junit,logging,matching,mock,mocking,plugin,quality,sonar,testing,toolkit,tools,validation]",1
"[annotations,apache,api,authentication,benchmark,binding,broker,build,build-system,bytecode,cli,client,collections,command-line,commons,compatibility,config,connector,container,data,deployment,disruptor,example,extension,functional,generator,google,html,http,io,javaee,javax,jdbc,jms,json,junit,launcher,logging,maven,message,metadata,mock,mocking,model,module,oauth,parser,performance,plugin,policy,pooling,queue,repository,runner,runtime,service,soap,socket,specs,spring,sql,standard,structures,support,testing,text,transaction,webservice,xml,xpath]",1
"[matching,mock,mocking,testing]",1
"[apache,binding,bytecode,client,code,codegen,commons,connector,coordination,database,date,dependency-injection,distributed,driver,elastic,elasticsearch,generator,io,json,junit,logging,mysql,persistence,rest,search,spring,starter,testing,time,zookeeper]",1
"[analysis,annotations,apache,api,assertion,authentication,avro,broker,bytecode,cache,client,cloud,cluster,codec,collections,communication,defect,distributed,dns,eclipse,github,google,grpc,io,javax,json,jwt,management,metadata,metrics,monitoring,netty,network,performance,protocol,quality,reactive,remoting,rpc,runtime,salesforce,security,serialization,server,service,servlet,socket,specs,spring,standard,starter,structures,stub,transport,web,webservice,websocket]",1
"[aop,apache,api,aspect,beans,bridge,config,dependency-injection,engine,expression,framework,hibernate,javax,language,logging,mvc,persistence,portlet,security,specs,spring,standard,template,validation,web]",1
"[apache,api,binding,client,command,commons,compression,execution,external,github,google,html,htmlunit,http,io,json,junit,logging,messaging,parser,process,slf4j,testing,web,websocket]",1
"[analysis,apache,api,authentication,beans,binding,camel,client,codehaus,defect,diagram,distributed,eclipse,framework,github,google,groovy,http,instrumentation,io,javax,jetty,jms,junit,jvm,kotlin,language,logging,message,metadata,mock,mocking,model,module,network,platform,pooling,queue,reflection,runtime,security,server,servlet,slf4j,socket,specs,spring,standard,starter,testing,tomcat,tracing,transport,uml,validation,vertx,web,webserver,xml]",1
"[amqp,annotations,ant,aop,apache,api,aspect,authentication,beans,binding,bridge,broker,buffer,build,bundle,bytecode,camel,client,codec,codehaus,collections,commons,compiler,config,connector,console,container,coordination,database,dependency-injection,directory,distributed,dns,eclipse,embedded,encryption,engine,esb,expression,framework,ftp,generator,google,groovy,hadoop,http,integration,io,java,javax,jdbc,jetty,jms,json,jsp,junit,language,linkedin,logging,management,matching,maven,message,metadata,mock,mocking,mqtt,mvc,netty,network,osgi,parser,plugin,pool,pooling,protocol,queue,reflection,regexp,rss,runtime,security,serialization,server,service,servlet,shell,slf4j,socket,specs,spring,sql,standard,structures,syndication,taglib,testing,tomcat,tools,transaction,transport,url,web,webserver,websocket,xml,zookeeper]",1
"[apache,bridge,cli,command-line,logging,parser,slf4j,testing,testng]",1
"[annotations,apache,api,appserver,base64,binding,build,build-system,builder,client,codec,collections,command,commons,compiler,container,controller,date,docker,encoding,execution,expression,external,framework,generator,github,google,hibernate,integration,io,javax,json,kubernetes,language,logging,maven,mustache,persistence,plugin,process,scanning,schema,server,service,slf4j,sonar,specs,spring,standard,starter,structures,testing,time,tools,validation,web,yaml]",1
"[annotations,apache,api,appserver,assertion,base64,beans,binding,bridge,build,build-system,client,cloud,code,codec,codegen,codehaus,command,commons,connector,coordination,data,database,date,dependency-injection,descriptor,distributed,driver,embedded,encoding,excel,execution,expression,external,framework,generator,google,http,io,javaee,javax,jdbc,json,junit,jvm,language,logging,mapping,matching,maven,metadata,mock,mocking,model,module,mvc,mysql,persistence,plugin,process,quality,reflection,relational,scheduling,server,slf4j,specs,spreadsheet,spring,sql,standard,starter,support,swagger,testing,time,tools,transaction,ui,upload,web,yaml,zookeeper]",1
"[analysis,analyzer,android,apache,api,base64,binary,binding,bridge,cli,client,cloud,codec,collections,commons,compression,config,container,data,database,dependency-injection,driver,eclipse,elastic,elasticsearch,encoding,full-text,geo,github,google,graph,hashing,html,index,indexing,io,javax,jaxrs,jdbc,json,junit,language,logging,lucene,mock,mocking,neo4j,nosql,parser,platform,pool,pooling,postgresql,python,rest,sdk,search,servlet,slf4j,specs,speech,sql,sqlite,standard,structures,swagger,swing,swt,testing,text,ui,web,webservice,xml]",1
"[analysis,apache,api,base64,code,codec,codegen,commons,defect,encoding,generator,google,logging,metadata,mock,mocking,slf4j,testing,testng,text]",1
"[amazon,annotations,apache,api,authentication,aws,azure,client,cluster,codehaus,distributed,file-system,google,hadoop,http,jaxrs,junit,kafka,logging,managment,metadata,processing,rest,rocksdb,slf4j,storage,stream,streaming,testing,yarn]",1
"[apache,binding,codec,command,execution,external,graphics,ibm,io,json,modeling,process,runtime,svg,swing,ui,uml,web,xml]",1
"[analysis,annotations,apache,api,assertion,build,build-system,connector,defect,dependency-injection,eclipse,factory,git,github,http,javax,jetty,junit,logging,maven,metadata,mock,mocking,network,plugin,quality,scm,server,servlet,slf4j,specs,ssh,standard,testing,tools,version-control,web,webserver]",1
"[annotations,apache,api,binding,bridge,bytecode,client,collections,commons,compiler,compression,config,connector,container,coordination,csv,dependency-injection,distributed,eclipse,framework,github,google,hadoop,io,javax,jaxrs,json,junit,jvm,kafka,lambda,language,library,logging,machine-learning,math,metadata,model,provider,reflection,rest,runtime,scala,server,servlet,slf4j,specs,spring,standard,streaming,structures,tabular,testing,tomcat,typesafe,upload,web,webserver,webservice,xml,zookeeper]",1
"[analysis,annotations,apache,api,authentication,azure,base64,batch,beans,benchmark,bigdata,binding,bridge,build,build-system,builder,bundle,cache,cassandra,cbor,cli,client,codec,collections,command-line,commons,compatibility,compiler,config,container,database,defect,dependency-injection,driver,eclipse,embedded,encoder,encoding,engine,example,framework,frontend,generator,github,google,graph,hadoop,http,ibm,index,interface,io,javax,jaxrs,jdbc,json,jwt,kafka,logging,lucene,mail,mapping,maven,metadata,mock,mocking,model,module,netty,network,parser,performance,persistence,plugin,postgresql,protocol,provider,query,redis,reflection,registry,remote,resource,rest,runtime,scala,schema,sdk,search,security,serialization,server,servlet,slf4j,socket,spark,specs,sql,standard,storage,streaming,structures,swagger,testing,testng,text,tools,transaction,transport,validation,webservice,websocket,xml,yaml]",1
"[annotation,api,base64,code,codec,codegen,config,connector,cryptography,data,database,driver,encoding,engine,framework,generator,google,grpc,io,jpa,json,junit,logging,mock,mocking,mongodb,mysql,netty,network,persistence,processor,protocol,rpc,serialization,slf4j,socket,spring,starter,stub,testing]",1
"[cli,codehaus,command-line,github,groovy,json,parser]",1
"[analysis,annotations,ant,apache,api,build,bytecode,date,debug,defect,dependency-injection,discovery,dom,extension,google,ide,jboss,json,junit,metadata,mock,mocking,protocol,serialization,server,servlet,specs,spring,testing,testng,time,tomcat,tools,tree,webserver,xml,xpath]",1
"[annotations,apache,api,base64,benchmark,build,build-system,codec,codehaus,commons,compiler,encoding,engine,generator,io,json,junit,maven,metadata,performance,plugin,testing,tools]",1
"[annotations,aop,apache,api,aspect,binding,bridge,client,commons,database,elastic,elasticsearch,extension,google,html,http,io,javax,json,jsp,junit,logging,metadata,parser,redis,scheduling,search,servlet,slf4j,specs,standard,taglib,testing,transport,web]",1
"[analysis,annotations,api,benchmark,binding,builder,data,defect,dom,embedded,example,experimental,generator,git,html,junit,logging,macro,markdown,metadata,parser,pdf,performance,reference,slf4j,specs,support,tags,testing,tree,xml,yaml]",1
"[analysis,annotations,apache,api,application,benchmark,binding,bridge,buffer,cli,code,codec,codegen,codehaus,collections,command-line,commons,compression,container,coordination,defect,dependency-injection,distributed,eclipse,generator,github,google,groovy,hadoop,hashing,io,javaee,javax,jdbc,jetty,jpa,json,junit,jvm,language,logging,management,metadata,metrics,mock,monitoring,native,netty,network,parser,performance,persistence,pool,pooling,prometheus,provider,runtime,server,servlet,slf4j,socket,specs,sql,standard,stats,structures,testing,transport,ui,unix,web,webapp,webserver,webservice,xml,zookeeper]",1
"[apache,client,codec,data,deep-learning,google,http,logging,machine-learning,native,nlp,platform,visualization]",1
"[apache,appengine,bridge,cli,command-line,console,io,jetty,junit,logging,parser,rdf,semantic,server,servlet,slf4j,terminal,testing,web,webserver]",1
"[amazon,apache,assertion,avro,logging,matching,protocol,quality,serialization,testing]",1
"[apache,client,excel,persistence,spreadsheet,spring,starter]",1
"[io,linux,unix]",1
"[admin,client,encoder,github,io,json,jwt,logging,netty,network,security,socket,spring,starter]",1
"[binding,cloud,json,reflection,spring,streaming,support,testing,tools]",1
"[amazon,analysis,annotations,apache,api,aws,base64,binding,bridge,cache,cassandra,client,cloud,codec,codehaus,collections,compression,computing,container,coordination,database,distributed,driver,elastic,elasticsearch,embedded,encoding,github,google,hadoop,hsql,http,io,json,junit,library,logging,mapping,matching,metadata,native,nosql,persistence,postgresql,protocol,riak,rules,sdk,search,server,servlet,slf4j,sql,structures,system,testing,testng,tomcat,tools,web,webserver,webservice,websocket,xml,zookeeper]",1
"[api,doc,junit,matching,testing]",1
"[analysis,annotations,apache,assertion,authentication,binding,build,build-system,client,compatibility,config,container,defect,docker,eclipse,exception,git,google,http,json,junit,library,logging,maven,metadata,mock,mocking,model,oauth,plugin,quality,scm,slf4j,spring,testing,tools,typesafe,version-control]",1
"[amazon,apache,api,aws,azure,cli,client,data,dataset,deep-learning,engine,framework,google,hadoop,html,http,image,import,io,junit,logging,machine-learning,native,netty,network,nlp,parallel,parser,platform,s3,sdk,socket,storage,tensorflow,testing,ui,visualization]",1
"[apache,api,chart,client,clojure,connector,database,dataset,driver,editor,framework,full-text,google,gwt,hibernate,ibm,index,indexing,javax,jdbc,json,lucene,mysql,persistence,postgresql,render,server,service,specs,sql,standard,streaming,ui,validation,visualization,web,xml]",1
"[android,apache,api,appengine,benchmark,bytecode,cloud,computing,container,engine,framework,generator,google,javax,jsp,junit,logging,native,osgi,performance,platform,reflection,sdk,servlet,specs,standard,stub,testing]",1
"[apache,api,commons,junit,mock,mocking,plugin,runner,sonar,testing,toolkit,tools]",1
